StudNr;A1;A2;A3;A4;A5;A6;A7;A8;A9;Version
361;3;4;4;3.5;2.5;4;2.5;4;3;B
362;1;3;0.5;0.5;0;2;0.5;2.5;0;A
363;3.5;3.5;3;2.5;1;2;2.5;1;0.5;B
364;3.5;3.5;3.5;4;4;4;3.5;4;4;B
365;1;1;0;2;0.5;1.5;0.5;1.5;0;B
366;4;2.5;3;4;4;0.5;0.5;0;0;A
367;3;2.5;4;2;1;2.5;3;2.5;2;B
368;1.5;4;3;4;3;2;2;3;2;A
369;2.5;1;2;1.5;0.5;2;2;1;1.5;B
370;1;2.5;3;0;0;0.5;0;0;0;A
371;2.5;4;4;3.5;3;4;2.5;4;0.5;B
372;2;0;0;1.5;0;1;0.5;0;0;B
373;3.5;1;3;4;1;3;2.5;3.5;1.5;B
374;1;2.5;1;0;0.5;0;4;0.5;0;A
375;3.5;4;3.5;3;2;3;3.5;3.5;2.5;B
376;1;2.5;3;2.5;3.5;2;4;2.5;1;A
377;0;1;0.5;0.5;0;0;0;2;0;A
378;0;0;0;0;0;0;0;0;0;A
379;0;3;4;3;3;1;2;4;2;A
380;1;3;2.5;4;3;1.5;3.5;1;0;A
381;3;2.5;1.5;1;1;1;0.5;3;0;A
382;0;0.5;0;0;0;0;0;0;0;A
383;3.5;4;3.5;3;4;3;2.5;3.5;4;A
384;1;1.5;3;3;1.5;3;3.5;2.5;2;A
385;3.5;1;4;2.5;0;1.5;2;0.5;0;B
386;1.5;1;0;0;0;3.5;0;0.5;0;B
387;2;3.5;2;3.5;3.5;3.5;3;3;2;A
388;4;4;3.5;4;4;2;4;3.5;3;A
389;1;1;2;3;0;3;3.5;3.5;0.5;B
390;3.5;3.5;3.5;4;3;4;4;4;3;A
391;1;3;2;1.5;1;1;1.5;2;1.5;A
392;3;1;1.5;2;1.5;2.5;1;0.5;0;B
393;3.5;4;4;3;3.5;3;4;4;0.5;B
394;3;3.5;0.5;4;1;3.5;2.5;1;0;B
395;4;1;1.5;0.5;1.5;3.5;0.5;0.5;0;B
396;0.5;1;0;0;0;0.5;0;0;0;B
397;2;1;1;0;0;1;0.5;4;0;B
398;3;3.5;4;3;1;3;3;3.5;1;B
399;4;1;1;2;1;4;0;1;0;B
400;4;4;4;3.5;2;4;3.5;3.5;2;B
401;0.5;3.5;3.5;4;3;1;4;3;0;A
402;1.5;1;1;1.5;0;2;1.5;0.5;0;B
403;1;0;0;0;0;0.5;0;0.5;0;B
404;3;3;4;3.5;4;4;1.5;3;3;A
405;3.5;3.5;3;4;4;2.5;4;4;4;B
406;1;1;3.5;1.5;2;0;0.5;3;0.5;A
407;3.5;2;4;2.5;3.5;0.5;0;2;0;A
408;3;2.5;2;1.5;0.5;3;1;1;0;B
409;4;1;4;3;3;4;3.5;1;0;B
410;1;3.5;2;3;2.5;1.5;1.5;2.5;0;A
411;1;3.5;3;4;4;1;0;0;0;A
412;0;0;0;0;0;0;0;0;0;abwesend
413;0;0;0;0;0;0;0;0;0;abwesend
414;0;0;0;0;0;0;0;0;0;abwesend
415;0;0;0;0;0;0;0;0;0;abwesend
416;0;0;0;0;0;0;0;0;0;abwesend
417;0;0;0;0;0;0;0;0;0;abwesend
418;0;0;0;0;0;0;0;0;0;abwesend
419;0;0;0;0;0;0;0;0;0;abwesend
420;0;0;0;0;0;0;0;0;0;abwesend
